,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
293,Mariano,do DOM,FW,Alavés,32-168,1993,3.1,0,5,3,60.0,1.60,0.96,0.00,0.00,29.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
294,Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,20-286,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
295,Rafa Marín,es ESP,DF,Villarreal,23-242,2002,12.9,1,3,1,33.3,0.23,0.08,0.33,1.00,7.7,0,0,0,0.3,0.3,0.11,+0.7,+0.7,Matches
296,Pablo Marín,es ESP,MF,Real Sociedad,22-197,2003,7.7,0,9,3,33.3,1.17,0.39,0.00,0.00,20.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
297,Carlos Martín,es ESP,FW,Rayo Vallecano,23-269,2002,0.9,0,2,0,0.0,2.31,0.00,0.00,,7.4,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
298,Gerard Martín,es ESP,DF,Barcelona,24-015,2002,10.8,0,2,0,0.0,0.18,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
299,Iván Martín,es ESP,MF,Girona,26-336,1999,15.3,0,5,2,40.0,0.33,0.13,0.00,0.00,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
300,Jon Martin,es ESP,DF,Real Sociedad,19-268,2006,11.0,0,7,1,14.3,0.64,0.09,0.00,0.00,9.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
301,Mario Martín,es ESP,"MF,FW",Getafe,21-317,2004,13.0,2,15,4,26.7,1.15,0.31,0.13,0.50,19.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
302,Arnau Martinez,es ESP,"DF,MF",Girona,22-266,2003,13.2,1,7,1,14.3,0.53,0.08,0.14,1.00,11.5,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
303,Joaquín Martínez Gauna,es ESP,"DF,MF",Sevilla,22-191,2003,4.3,0,3,1,33.3,0.70,0.23,0.00,0.00,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
304,Pablo Martínez,es ESP,MF,Levante,27-328,1998,8.5,0,15,3,20.0,1.77,0.35,0.00,0.00,24.7,2,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
305,Ramón Martínez,es ESP,DF,Sevilla,23-086,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
306,Toni Martínez,es ESP,FW,Alavés,28-200,1997,13.2,3,37,11,29.7,2.80,0.83,0.08,0.27,15.1,1,0,0,4.0,4.0,0.11,-1.0,-1.0,Matches
307,Omar Mascarell,gq EQG,MF,Mallorca,32-348,1993,8.4,1,1,1,100.0,0.12,0.12,1.00,1.00,38.7,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
308,Franco Mastantuono,ar ARG,"FW,MF",Real Madrid,18-155,2007,6.2,1,19,4,21.1,3.04,0.64,0.05,0.25,17.5,1,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches
309,Alan Matturro,uy URU,DF,Levante,21-097,2004,2.2,0,1,0,0.0,0.45,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
310,Borja Mayoral,es ESP,FW,Getafe,28-286,1997,11.6,4,13,7,53.8,1.12,0.61,0.31,0.57,14.1,0,0,1,2.9,2.1,0.16,+1.1,+1.9,Matches
311,Kylian Mbappé,fr FRA,FW,Real Madrid,27-027,1998,17.4,18,82,33,40.2,4.70,1.89,0.16,0.39,18.1,5,5,6,15.7,11.0,0.13,+2.3,+2.0,Matches
312,Brais Méndez,es ESP,"MF,FW",Real Sociedad,29-009,1997,12.7,4,24,12,50.0,1.88,0.94,0.17,0.33,20.3,3,0,0,2.3,2.3,0.11,+1.7,+1.7,Matches
313,Rodrigo Mendoza,es ESP,"MF,FW",Elche,20-307,2005,7.3,1,10,2,20.0,1.37,0.27,0.10,0.50,20.7,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
314,Batista Mendy,fr FRA,MF,Sevilla,26-004,2000,12.7,1,8,3,37.5,0.63,0.24,0.13,0.33,23.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
315,Ferland Mendy,fr FRA,DF,Real Madrid,30-222,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
316,Nobel Mendy,fr FRA,DF,Rayo Vallecano,21-135,2004,9.8,1,8,2,25.0,0.82,0.20,0.13,0.50,16.0,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
317,Alejandro Mestanza,es ESP,"FW,MF",Getafe,21-040,2004,0.7,0,1,0,0.0,1.38,0.00,0.00,,15.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
318,Georges Mikautadze,ge GEO,FW,Villarreal,25-077,2000,8.3,5,26,14,53.8,3.12,1.68,0.19,0.36,13.3,0,0,0,3.8,3.8,0.14,+1.2,+1.2,Matches
319,Éder Militão,br BRA,DF,Real Madrid,27-363,1998,11.1,1,17,8,47.1,1.53,0.72,0.06,0.13,14.7,0,0,0,1.4,1.3,0.08,-0.4,-0.3,Matches
320,Luis Milla,es ESP,MF,Getafe,31-101,1994,17.5,0,12,1,8.3,0.69,0.06,0.00,0.00,26.8,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
321,Pere Milla,es ESP,"FW,MF",Espanyol,33-115,1992,13.4,6,44,16,36.4,3.28,1.19,0.14,0.38,16.7,6,0,0,5.5,5.5,0.12,+0.5,+0.5,Matches
322,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,26-248,1999,11.5,1,8,3,37.5,0.70,0.26,0.13,0.33,22.9,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
323,Bojan Miovski,mk MKD,FW,Girona,26-206,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
324,Rafa Mir,es ESP,"FW,MF",Elche,28-212,1997,14.5,6,49,23,46.9,3.37,1.58,0.12,0.26,16.9,3,0,1,5.7,4.9,0.10,+0.3,+1.1,Matches
325,Johan Mojica,co COL,DF,Mallorca,33-148,1992,16.6,0,11,2,18.2,0.66,0.12,0.00,0.00,27.5,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
326,Alberto Moleiro,es ESP,"MF,FW",Villarreal,22-108,2003,12.9,8,29,15,51.7,2.25,1.16,0.28,0.53,17.7,0,0,0,4.2,4.2,0.16,+3.8,+3.8,Matches
