,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
472,Alexander Sørloth,no NOR,FW,Atlético Madrid,30-042,1995,10.0,5,29,16,55.2,2.89,1.59,0.17,0.31,11.9,0,0,0,4.3,4.3,0.15,+0.7,+0.7,Matches
473,César Tárrega,es ESP,DF,Valencia,23-324,2002,17.3,0,7,1,14.3,0.41,0.06,0.00,0.00,13.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
474,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,25-354,2000,15.4,0,20,3,15.0,1.30,0.19,0.00,0.00,21.0,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
475,Nahuel Tenaglia,ar ARG,DF,Alavés,29-329,1996,18.0,1,13,2,15.4,0.72,0.11,0.08,0.50,14.0,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
476,Arnau Tenas,es ESP,GK,Villarreal,24-231,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
477,Ramón Terrats,es ESP,"MF,FW",Espanyol,25-090,2000,3.2,0,2,0,0.0,0.63,0.00,0.00,,51.8,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
478,Jeremy Toljan,de GER,DF,Levante,31-161,1994,16.9,1,5,1,20.0,0.30,0.06,0.20,1.00,22.0,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
479,Pablo Torre,es ESP,"MF,FW",Mallorca,22-288,2003,7.5,0,6,3,50.0,0.80,0.40,0.00,0.00,22.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
480,Jofre Torrents,es ESP,DF,Barcelona,18-353,2007,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
481,Ferrán Torres,es ESP,FW,Barcelona,25-321,2000,12.7,11,42,22,52.4,3.30,1.73,0.26,0.50,13.7,1,0,0,8.7,8.7,0.21,+2.3,+2.3,Matches
482,Lucas Torró,es ESP,MF,Osasuna,31-181,1994,14.9,0,13,4,30.8,0.87,0.27,0.00,0.00,17.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
483,Óscar Trejo,ar ARG,MF,Rayo Vallecano,37-265,1988,0.5,0,1,1,100.0,2.05,2.05,0.00,0.00,16.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
484,Viktor Tsyhankov,ua UKR,"MF,FW",Girona,28-062,1997,10.6,4,16,10,62.5,1.51,0.95,0.25,0.40,18.5,2,0,0,2.2,2.2,0.14,+1.8,+1.8,Matches
485,Kareem Tunde,es ESP,FW,Levante,20-150,2005,1.9,0,3,1,33.3,1.61,0.54,0.00,0.00,20.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
486,Beñat Turrientes,es ESP,MF,Real Sociedad,23-350,2002,4.6,0,9,2,22.2,1.95,0.43,0.00,0.00,24.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
487,Christantus Uche,ng NGA,FW,Getafe,22-242,2003,3.0,1,6,1,16.7,2.00,0.33,0.17,1.00,14.4,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
488,Filip Ugrinic,ch SUI,MF,Valencia,27-011,1999,4.0,0,4,0,0.0,1.01,0.00,0.00,,26.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
489,Victor Valdepeñas,es ESP,DF,Real Madrid,19-088,2006,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
490,Óscar Valentín,es ESP,MF,Rayo Vallecano,31-149,1994,12.6,0,8,2,25.0,0.63,0.16,0.00,0.00,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
491,Germán Valera,es ESP,"DF,MF",Elche,23-306,2002,15.1,3,14,5,35.7,0.93,0.33,0.21,0.60,16.1,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Matches
492,Martin Valjent,sk SVK,DF,Mallorca,30-036,1995,19.0,0,11,5,45.5,0.58,0.26,0.00,0.00,27.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
493,Álvaro Vallés,es ESP,GK,Real Betis,28-175,1997,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
494,Federico Valverde,uy URU,"MF,DF",Real Madrid,27-178,1998,16.4,0,27,8,29.6,1.65,0.49,0.00,0.00,26.1,2,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
495,Vladyslav Vanat,ua UKR,FW,Girona,24-012,2002,13.0,5,15,10,66.7,1.15,0.77,0.27,0.40,13.6,0,1,1,4.4,3.7,0.24,+0.6,+0.3,Matches
496,Ruben Vargas,ch SUI,"FW,MF",Sevilla,27-164,1998,9.7,3,21,4,19.0,2.17,0.41,0.10,0.50,18.2,1,1,1,2.0,1.2,0.06,+1.0,+0.8,Matches
497,José Luis García Vayá,es ESP,MF,Valencia,27-158,1998,14.7,2,17,1,5.9,1.15,0.07,0.06,1.00,26.3,5,1,2,2.3,0.8,0.05,-0.3,+0.2,Matches
498,Jesus Vazquez,es ESP,DF,Valencia,23-014,2003,6.2,0,6,2,33.3,0.97,0.32,0.00,0.00,21.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
499,Renato Veiga,pt POR,DF,Villarreal,22-171,2003,12.3,0,7,2,28.6,0.57,0.16,0.00,0.00,19.4,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
500,Unai Vencedor Paris,es ESP,MF,Levante,25-062,2000,7.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
501,Jozhua Vertrouwd,nl NED,DF,Rayo Vallecano,21-148,2004,2.3,0,1,0,0.0,0.43,0.00,0.00,,12.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
502,Mikel Vesga,es ESP,MF,Athletic Club,32-240,1993,2.7,0,2,0,0.0,0.73,0.00,0.00,,18.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
503,Carlos Vicente,es ESP,"MF,FW",Alavés,26-268,1999,12.1,4,8,2,25.0,0.66,0.17,0.13,0.50,22.5,0,3,3,3.3,1.0,0.12,+0.7,0.0,Matches
504,Nacho Vidal,es ESP,DF,Oviedo,30-357,1995,10.9,0,6,2,33.3,0.55,0.18,0.00,0.00,22.6,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
505,Federico Viñas,uy URU,FW,Oviedo,27-200,1998,10.2,2,17,6,35.3,1.66,0.59,0.06,0.17,13.4,0,1,1,3.1,2.4,0.14,-1.1,-1.4,Matches
506,Jan Virgili,es ESP,"FW,MF",Mallorca,19-174,2006,10.4,0,16,6,37.5,1.55,0.58,0.00,0.00,20.3,1,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
507,Daniel Vivian,es ESP,DF,Athletic Club,26-185,1999,16.3,0,8,3,37.5,0.49,0.18,0.00,0.00,14.0,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
508,Odysseas Vlachodimos,gr GRE,GK,Sevilla,31-265,1994,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
509,Iñaki Williams,gh GHA,FW,Athletic Club,31-215,1994,9.5,1,24,9,37.5,2.53,0.95,0.00,0.00,16.1,0,1,1,2.6,1.8,0.07,-1.6,-1.8,Matches
510,Nico Williams,es ESP,FW,Athletic Club,23-188,2002,11.7,3,25,8,32.0,2.13,0.68,0.08,0.25,16.8,0,1,2,4.1,2.5,0.10,-1.1,-0.5,Matches
511,Axel Witsel,be BEL,MF,Girona,37-004,1989,13.8,1,11,2,18.2,0.80,0.15,0.09,0.50,16.1,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
512,Lamine Yamal,es ESP,FW,Barcelona,18-187,2007,14.0,7,62,19,30.6,4.43,1.36,0.08,0.26,19.3,1,2,2,5.1,3.5,0.06,+1.9,+1.5,Matches
513,Arsen Zakharyan,ru RUS,MF,Real Sociedad,22-235,2003,3.2,0,6,1,16.7,1.86,0.31,0.00,0.00,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
514,Bryan Zaragoza,es ESP,"FW,MF",Celta Vigo,24-129,2001,10.6,0,20,8,40.0,1.89,0.76,0.00,0.00,18.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
515,Igor Zubeldia,es ESP,DF,Real Sociedad,28-292,1997,14.0,0,4,0,0.0,0.29,0.00,0.00,,11.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
